index,src_out_result,src_ref_result,out_ref_result,HTER
421,[0.34047089],[0.35767519],[0.10945495],4.347826087
422,[0.17827625],[0.20233432],[0.83168107],10.0
423,[0.38969646],[0.43547758],[0.35472013],35.71428571
424,[0.2882564],[0.28847534],[0.92587727],9.523809524
425,[0.30926956],[0.23778272],[0.36688914],23.80952381
426,[0.51423002],[0.51423002],[1.],13.33333333
427,[0.14041525],[0.13014698],[0.20928838],10.25641026
428,[0.13276302],[0.3050294],[0.22370101],14.28571429
429,[0.27618486],[0.2355971],[0.39589912],4.347826087
430,[0.12194702],[0.34829721],[0.4754042],16.66666667
431,[0.18957604],[0.15879438],[0.46365642],9.375
432,[0.43613445],[0.43613445],[1.],44.44444444
433,[0.2911726],[0.2911726],[1.],25.0
434,[0.32112332],[0.41538462],[0.47399267],20.0
435,[0.30348092],[0.39916458],[0.52715121],16.66666667
436,[0.12834401],[0.2388628],[0.47579157],2.857142857
437,[0.37878028],[0.19420774],[0.33400167],0.0
438,[0.41787427],[0.30950296],[0.37243515],12.12121212
439,[0.57069597],[0.43394383],[0.53113553],50.0
440,[0.10193418],[0.06855727],[0.33263471],2.5
441,[0.28483023],[0.30358855],[0.56146782],21.42857143
442,[0.34500282],[0.3747412],[0.27624067],20.0
443,[0.4952381],[0.49915966],[0.62745098],22.22222222
444,[0.23962556],[0.31132275],[0.39399267],6.25
445,[0.09126847],[0.06606866],[0.21716693],5.263157895
446,[0.30501672],[0.10657748],[0.45881828],11.11111111
447,[0.20464798],[0.37370699],[0.37215767],13.33333333
448,[0.10368248],[0.19717227],[0.53261977],19.23076923
449,[0.40390277],[0.32036998],[0.3123419],6.52173913
450,[0.24097444],[0.26967962],[0.52846203],3.703703704
451,[0.26659787],[0.25228758],[0.53381493],77.77777778
452,[0.10635146],[0.13604733],[0.31067308],17.24137931
453,[0.30573021],[0.35215162],[0.66497213],13.33333333
454,[0.05012705],[0.27073632],[0.36384968],4.0
455,[0.31732166],[0.24680334],[0.58899063],16.66666667
456,[0.42701197],[0.38134224],[0.41275411],33.33333333
457,[0.15054945],[0.15054945],[1.],42.85714286
458,[0.44137022],[0.39702616],[0.41765481],6.666666667
459,[0.63569764],[0.61838162],[0.55377955],11.11111111
460,[0.65641555],[0.68407293],[0.75383557],8.333333333
461,[0.30536131],[0.71561772],[0.4045954],0.0
462,[0.2352561],[0.20042375],[0.64536257],30.0
463,[0.06110807],[0.06088193],[0.7468359],14.28571429
464,[0.06548908],[0.50632479],[0.01458689],7.142857143
465,[0.56828345],[0.43653251],[0.29033368],38.46153846
466,[0.23504071],[0.23504071],[1.],8.695652174
467,[0.29304269],[0.09549941],[0.1658136],3.846153846
468,[0.64102564],[0.64102564],[1.],12.5
469,[0.22921583],[0.13317538],[0.19961046],2.857142857
470,[0.27200258],[0.14347466],[0.29981895],36.36363636
471,[0.08595236],[0.11701301],[0.36794786],9.756097561
472,[0.16669451],[0.13873573],[0.39058758],50.0
473,[0.2811774],[0.23293803],[0.64850696],5.263157895
474,[0.14201387],[0.21547526],[0.30539339],4.545454545
475,[0.38693423],[0.38693423],[1.],29.41176471
476,[0.15950116],[0.07154527],[0.3214321],4.255319149
477,[0.36668945],[0.46712235],[0.24830257],26.66666667
478,[0.66433566],[0.62703963],[0.54312354],11.11111111
479,[0.38332392],[0.40703934],[0.61520798],25.0
480,[0.41661779],[0.28128055],[0.37130987],46.42857143
481,[0.20638177],[0.22283001],[0.24319088],42.10526316
482,[0.28943928],[0.33966288],[0.66329549],0.0
483,[0.37480491],[0.22028986],[0.43139353],10.0
484,[0.70341066],[0.24721205],[0.35254375],4.761904762
485,[0.35977208],[0.25111925],[0.2997965],5.0
486,[0.27870657],[0.25971792],[0.8123151],23.07692308
487,[0.39886258],[0.32493563],[0.45505475],0.0
488,[0.29512516],[0.24505929],[0.50047054],27.77777778
489,[0.3168471],[0.17610636],[0.17382716],4.347826087
490,[0.28528015],[0.48877493],[0.3297246],11.11111111
491,[0.32936647],[0.27443903],[0.60357059],11.42857143
